locationKey,address,city,state,zipcode,latitude,longitude,neighborhoodKey
224,1993 Finch Avenue W,Toronto,ON,M3N 2K2,43.75639432569999,-79.5188201471,46
225,2215 Bloor St W,Toronto,ON,M6S 1N5,43.6511078,-79.4759057,52
226,102 Peter Streeet,Toronto,ON,M5V 1X2,43.6476593,-79.3930841,123
227,133 Yorkville Avenue,Toronto,ON,M5R 1C4,43.6704745,-79.3936313,4
228,707 Dundas Street W,Toronto,ON,M5T 2W6,43.6517657,-79.4049646,63
229,1015 Lakeshore Boulelarvd E,Toronto,ON,M4M,43.6580366,-79.3288788,111
230,106 Trinity Street,Toronto,ON,M5A 3C6,43.6527362,-79.36128570000001,80
231,"395 Bamburgh Circle, Unit D102",Toronto,ON,M1W 3Y1,43.8155128235,-79.3229706756,113
232,1375 Dundas Street W,Toronto,ON,M6J 1Y3,43.6493815,-79.4277957,72
233,"300 Borough Drive, Unit 733K",Toronto,ON,M1P 4P5,43.7767555,-79.25900809999999,12
234,972 Queen Street E,Toronto,ON,M4M 1K1,43.6611553,-79.33999140000002,111
235,"150 John Street, Unit 102",Toronto,ON,M9N 1J8,43.6493363504,-79.39097691399999,123
236,643 Danforth Avenue,Toronto,ON,M4K 1R2,43.67868120000001,-79.34514370000001,89
237,1422 Queen Street W,Toronto,ON,M6K 2S1,43.6409651209,-79.4351384416,104
238,510 King St W,Toronto,ON,M5V,43.6451799,-79.3971353,123
239,1040 Coxwell Avenue,Toronto,ON,M4C 3G5,43.6969562,-79.3293695,94
240,922 Eglinton Ave W,Toronto,ON,M6C,43.7005748,-79.4282011,44
241,300 Middlefield Road,Toronto,ON,M1S 5B1,43.803586100000004,-79.2565677,1
242,"3391 Bloor Street W, Unit 5",Toronto,ON,M8X 1G3,43.6444729,-79.5237476,59
243,2938 Finch Avenue E,Toronto,ON,M1W 2T4,43.794254017,-79.32973631,67
244,4560 Kingston Road,Toronto,ON,M1E 2P2,43.7731419,-79.1851281,124
245,424 College Street,Toronto,ON,M5T 1S9,43.656674992,-79.4071152266,121
246,35 Sheppard Avenue E,Toronto,ON,M2N 2Z8,43.7619966,-79.4086976,130
247,2300 Lawrence Avenue E,Toronto,ON,M1P 2K9,43.750378600000005,-79.2771793,32
248,373 Broadview Avenue,Toronto,ON,M4K 2M7,43.6658129,-79.3525202,89
249,307 Augusta Avenue,Toronto,ON,M5T 2M2,43.6566765,-79.4027438,63
250,522 Oakwood Ave,Toronto,ON,M6E 2X1,43.6919708,-79.440538,92
251,819 Bloor Street W,Toronto,ON,M6G 1M1,43.6625526,-79.42225090000001,95
252,26 Bellair Street,Toronto,ON,M5R 2C7,43.6707435,-79.3913851,4
253,2300 Yonge Street,Toronto,ON,M4P 1E4,43.7068953,-79.39869820000001,137
254,"161 Bay Street, Unit 230",Toronto,ON,M5J 2S1,43.6464036,-79.3786608,7
255,"145 Wellington Street W, 5th Floor",Toronto,ON,M5J 1H8,43.6459831,-79.3850355,7
256,"668 Bloor Street W, 2nd Floor",Toronto,ON,M6G 1L2,43.6642003,-79.41635629999999,4
257,2257 Queen Street E,Toronto,ON,M4E 1G3,43.6711161,-79.2941068,117
258,1381 Danforth Avenue,Toronto,ON,M4J 1N2,43.6822547,-79.32801359999999,47
259,83 Roncesvalles Avenue,Toronto,ON,M6R 2K6,43.641556,-79.44705,104
260,2100 Bloor Street W,Toronto,ON,M6S 1M7,43.65261470000001,-79.4710037,51
261,2490 Yonge Street,Toronto,ON,M4P 2H7,43.71194570000001,-79.3996473,137
262,125 Roncesvalles Avenue,Toronto,ON,M6R 2K9,43.6427734,-79.44743259999998,104
263,1367 Wilson Avenue,Toronto,ON,M3M 1H5,43.722994,-79.4980982,34
264,2 Bloor St W,Toronto,ON,M4W 1A7,43.670477500000004,-79.3872741,4
265,1 - 5235 Steeles Avenue W,Toronto,ON,M9L 2W2,43.7688249,-79.552379,56
266,235 Yonge Street,Toronto,ON,M5B 1N8,43.654475700000006,-79.3799577,24
267,139 Yorkville Ave,Toronto,ON,M5R 1C4,43.7454374813,-79.4065709131,112
268,518 Mount Pleasant Road,Toronto,ON,M4S 2M2,43.7018883,-79.38788840000001,84
269,"Toronto Dominion Centre, 66 Wellington St. W, Unit 0054A",Toronto,ON,M5K 1A1,43.646954,-79.382159,7
270,267 Danforth Ave,Toronto,ON,M4K 1N2,43.676849100000005,-79.3547181,89
271,10 Wellesley Street W,Toronto,ON,M4Y 1E7,43.664895,-79.3852447,7
272,"Scarborough Town Centre, 300 Borough Drive",Toronto,ON,M1P 4P5,43.7779960632,-79.2554244995,12
273,1104 College Street,Toronto,ON,M6H 1B3,43.652705100000006,-79.43234809999998,35
274,2425 Bloor Street W,Toronto,ON,M6S 4W4,43.649181899999995,-79.48348320000001,52
275,1015 Dufferin Street,Toronto,ON,M6H 4B5,43.6602391,-79.43529579999999,33
276,"659 Bloor Street W, Ste 2F",Toronto,ON,M6G 1L1,43.664073315900005,-79.4156041604,95
277,964 Bathurst Street,Toronto,ON,M5R 3G5,43.6695092,-79.413069,4
278,186 Ossington Avenue,Toronto,ON,M6J,43.648466299999995,-79.4205616,120
279,2949 Dundas Street W,Toronto,ON,M6P,43.6653912,-79.46749399999999,60
280,501 Davenport Road,Toronto,ON,M4V 1B8,43.6775536,-79.4070502,22
281,989 College Street,Toronto,ON,M6H 1A6,43.6530612,-79.4279396,72
282,641 Bloor Street W,Toronto,ON,M6G 1L1,43.664176166400004,-79.4149611996,95
283,99 Blue Jays Way,Toronto,ON,M5V 9G9,43.6453305,-79.391561,123
284,707 Danforth Avenue,Toronto,ON,M4J 1L2,43.6789721,-79.3434527,15
285,123 Av Eglinton E,Toronto,ON,M4P 1J2,43.7075175,-79.3932324,84
286,193 Church Street,Toronto,ON,M5B 1Y7,43.655468799999994,-79.3764957,24
287,350 Victoria Street,Toronto,ON,M5B 0A1,43.6578767,-79.3804561,24
288,"26 Duncan Street, Unit 100",Toronto,ON,M5V 2B8,43.648577100000004,-79.38901,123
289,"1150 Sheppard Avenue W, Unit 7",Toronto,ON,M3K 2B5,43.754195340600006,-79.468643087,140
290,302 College Street,Toronto,ON,M5T 3M1,43.6578089,-79.4017213,121
291,Unit 2 2777 Steeles Avenue W,Toronto,ON,M3J 3K5,43.7821307238,-79.4904436859,140
292,520 Annette Street,Toronto,ON,M6P 1S3,43.6602286,-79.4798078,60
293,3233 Yonge Street,Toronto,ON,M4N 2L5,43.72873870000001,-79.4029239,69
294,235 Queen St E,Toronto,ON,M5A,43.65452020000001,-79.369416,80
295,2255 Bloor Street W,Toronto,ON,M6S 1N8,43.6506625,-79.4776332,52
296,633 College Street W,Toronto,ON,M6G 3A7,43.6548045,-79.41499350000001,120
297,12A-371 Old Kingston Road,Toronto,ON,M1C 1B7,43.7827827644,-79.16957460340001,23
298,959 Bloor Street W,Toronto,ON,M6H 1L7,43.6611708,-79.42838929999999,95
299,2 Bloor St E,Toronto,ON,M4W 1A8,43.67109779999999,-79.38606300000001,105
300,409 Spadina Ave,Toronto,ON,M5T 2G6,43.65687,-79.39924,63
301,"865 York Mills Rd, Suite 10A",Toronto,ON,M3B 1Y6,43.7548660252,-79.349670226,5
302,382 Keele Street,Toronto,ON,M6P 2K8,43.665723799999995,-79.46481440000001,60
303,596 College St,Toronto,ON,M6G 1B4,43.6553017,-79.41401450000001,95
